Type,TAdiv,ID,Genotype,LRn_d10,LRn_d20,TL_d10,TL_d20,BI_d10,BI_d20,FW_d10,FW_d20,LRn_d14,TL_d14,FW_d14,BI_d14,Meristem_Size,TL_time,LRn_time,BI_time,Time
Data,,,WT,12,44,12.564,57.456,0.955109837631328,0.765803397382345,10.8,67.2,21,15.206,,1.3810338024464,,,,,
Data,,,WT,12,60,9.112,72.676,1.31694468832309,0.825582035334911,8.4,74.4,20,18.568,,1.0771219302025,,,,,
Data,,,WT,12,39,8.231,41.092,1.45790304944721,0.949089847172199,8.8,43.3,18,17.414,,1.03365108533364,,,,,
Data,,,WT,14,35,9.279,47.76,1.5087832740597,0.732830820770519,8.9,58.8,18,15.728,,1.14445574771109,,,,,
Data,,,WT,17,49,12.531,82.923,1.35663554385125,0.590909639062745,9.1,95.6,22,19.382,,1.13507377979569,,,,,
Data,,,WT,14,37,8.149,60.491,1.71800220885998,0.611661238861979,7.6,52.7,23,16.651,,1.38129842051528,,,,,
Data,,,WT,11,37,8.054,71.657,1.36578097839583,0.516348716803662,8.8,82.8,23,12.606,,1.82452800253847,,,,,
Data,,,WT,13,39,8.795,49.318,1.47811256395679,0.790786325479541,9.5,50.6,21,17.394,,1.20731286650569,,,,,
Data,,,WT,11,52,9.533,84.255,1.15388649952796,0.617174054952228,8.6,83.3,19,16.634,,1.14223878802453,,,,,
Data,,,WT,11,37,6.738,54.291,1.63253190857821,0.681512589563648,7.2,82.2,21,17.017,,1.23406005758947,,,,,
Data,,,WT,13,35,8.316,50.772,1.56325156325156,0.689356338139132,7.9,68.9,28,20.621,,1.35783909606712,,,,,
Data,,,WT,14,60,8.652,71.916,1.61812297734628,0.834306691139663,9.7,95.2,17,11.696,,1.45348837209302,,,,,
Data,,,WT,14,62,7.319,88.62,1.912829621533,0.699616339426766,7.9,124.8,17,13.027,,1.30498196054349,,,,,
Data,,,WT,14,45,9.687,52.569,1.44523588314236,0.856017805170347,10.7,67.6,28,17.636,,1.58766160127013,,,,,
Data,,,WT,13,56,8.601,47.569,1.51145215672596,1.17723727637747,7.2,54.8,16,14.639,,1.09297083134094,,,,,
Data,,,WT,13,59,10.626,55.732,1.22341426689253,1.05863776645374,9.3,71.1,22,15.672,,1.4037774374681,,,,,
Data,,,Mutant,2,12,2.512,8.123,0.796178343949045,1.47728671673027,3.3,13.8,6,4.151,,1.44543483497952,,,,,
Data,,,Mutant,3,10,2.744,8.214,1.0932944606414,1.21743364986608,4.5,12.4,3,3.858,,0.777604976671851,,,,,
Data,,,Mutant,1,10,2.522,7.967,0.396510705789056,1.25517760763148,4.4,11.8,5,4.136,,1.20889748549323,,,,,
Data,,,Mutant,3,9,2.709,7.93,1.10741971207087,1.13493064312736,3.6,10.8,4,4.195,,0.953516090584028,,,,,
Data,,,Mutant,0,8,1.984,5.769,0,1.38672213555209,4.5,8.3,5,3.515,,1.42247510668563,,,,,
Data,,,Mutant,3,12,2.34,9.709,1.28205128205128,1.23596662890102,4.2,12.8,4,3.474,,1.15141047783535,,,,,
Data,,,Mutant,4,7,2.678,6.877,1.49365197908887,1.01788570597644,5,9.2,9,5.523,,1.62954915806627,,,,,
Data,,,Mutant,4,15,2.535,8.117,1.57790927021696,1.8479733891832,4,8.2,6,4.61,,1.30151843817787,,,,,
Data,,,Mutant,3,11,2.631,9.387,1.14025085518814,1.17183338659849,4.1,12.1,4,3.199,,1.25039074710847,,,,,
Data,,,Mutant,5,10,2.981,8.573,1.67728950016773,1.16645281698355,5.6,11.2,4,4.137,,0.96688421561518,,,,,
Data,,,Mutant,5,10,3.529,6.379,1.4168319637291,1.56764383132152,5.2,8.2,4,4.176,,0.957854406130268,,,,,
Data,,,Mutant,4,8,2.499,6.056,1.60064025610244,1.32100396301189,2.8,8.5,3,2.742,,1.09409190371991,,,,,
Data,,,Mutant,6,5,2.614,5.543,2.29533282325937,0.90203860725239,4.1,10.5,4,3.137,,1.27510360216768,,,,,
Data,,,Mutant,0,8,2.149,5.362,0,1.49198060425214,3.6,8.2,4,3.095,,1.2924071082391,,,,,
Data,,,Mutant,0,7,2.867,4.738,0,1.47741663149008,6.5,5,4,3.372,,1.18623962040332,,,,,
Data,,,Mutant,3,5,2.264,4.877,1.32508833922261,1.02522042239081,3.1,6.1,3,3.386,,0.886001181334908,,,,,
Data,,,Mutant,4,9,2.593,5.719,1.54261473197069,1.57370169610072,5.4,8,7,3.312,,2.11352657004831,,,,,
Data,,,Mutant,1,7,1.792,5.765,0.558035714285714,1.21422376409367,4.4,8,5,3.402,,1.46972369194591,,,,,
Data,,,Mutant,1,7,1.954,6.059,0.511770726714432,1.15530615613137,2.6,8.5,6,3.237,,1.85356811862836,,,,,
Data,,,Mutant,0,5,1.859,5.222,0,0.957487552661815,2.7,6.8,6,3.536,,1.69683257918552,,,,,
Data,,,Mutant,2,9,2.714,5.654,0.736919675755343,1.59179342058719,4.4,10.4,4,3.629,,1.10223201984018,,,,,
Data,,,Mutant,1,8,1.784,7.358,0.560538116591928,1.0872519706442,4,7.9,5,4.275,,1.16959064327485,,,,,
